ResponseId;IC1;IC2;IC3;Q1;A1;O1;A2;A2_8_TEXT;A2_a;A2_b;A2_b_5_TEXT;CB1;RB;CB3;DF1;DF2;SB1;TP1;OS1;MS;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q135_First Click;Q135_Last Click;Q135_Page Submit;Q135_Click Count;Q10;Q10_6_TEXT;Q11_1;Q11_2;Q11_3;Q11_4;Q11_5;Q11_6;Q11_7;Q11_8;Q18;Q19;Q19_12_TEXT;Q20;Q21;Q22;Q22_11_TEXT;Q23;Q23_10_TEXT;Q142;Q12;Q13;Q14;Q15;Q16;Q24;A7_1;A7_2;A7_3;A7_4;A7_5;A7_6;A8;A9_1;A9_2;A9_3;A9_4;A9_5;A9_6;GENDER;GENDER_TEXT;AGE_ITEM;AGE_NUM;ETH_HISP;ETH_R;A6_15_TEXT;Q25
R_3fvnZ2tMIK8CTq3;Yes;Yes;Yes;Yes;School of Medicine & Health Sciences;;Full-time Faculty;;;;;???;I remembered my passwords without writing them down or storing them digitally,I wrote my passwords down on paper or other physical media.;Yes;;;;;;???;No;???;????;Yes;About equally secure;???;I do not use a password manager.;17.981;17.981;21.957;1;I don’t know (don’t remember, not sure);;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;;;;;;;;;;;???;No;;No;;Neither likely nor unlikely;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;None of the above;High understanding;High understanding;Medium understanding;Low understanding;No understanding;High understanding;Man;;Prefer not to disclose;;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;None of the above
R_1F3ZD0k0HNyVO1V;Yes;Yes;Yes;Yes;School of Nursing;;Student;;No;Bachelors (B.A., B.S., etc.);;I utilize multiple passwords that I do not track in any management system. Some passwords repeat across accounts.;I remembered my passwords without writing them down or storing them digitally,I saved my passwords in the browser (for example, passwords saved in Chrome);Yes;;;Yes;;;I use a formulaic approach for creating passwords that is easy for me to remember. But I do appreciate being able to rely on Chrome's stored password feature. With so many passwords, it can be hard to remember which I'm using where. I've wanted to use a third party password management system for some time, but it always feels ovewhelming to switch over to that so I never get around to it.;No;I used the same formulaic approach that I use for other passwords.;Yes;Yes;Somewhat less secure;I have to enter it a lot to access my GW account so I didn't want a complicated password that would be difficult to remember. I also don't consider my gw account particularly high risk (like a bank account) so I didn't feel too concerned about making a very secure password.;I save my passwords in the browser (for example, passwords saved in Chrome).;1.561;23.793;24.156;8;Other People (friends, family, etc, but not at work);;Strongly Agree;Strongly Agree;Neither agree nor disagree;Somewhat Disagree;Somewhat Agree;Somewhat Agree;Somewhat Agree;Somewhat Agree;So I don't have to rely on memory;Chrome;;Moderately satisfied;I create the password myself, and the password manager stores it for me;Not having to type my passwords (autofill);;Entering passwords on an incompatible device where the password manger cannot be installed;;Since I'm so used to autofilled passwords on my own devices I get frustrated when I have to rely on my memory.;;;;;;Moderately likely;Disagree;Disagree;Somewhat Agree;Strongly Disagree;Disagree;Disagree;None of the above;Full Understanding;Full Understanding;Full Understanding;Full Understanding;Low understanding;Full Understanding;Woman;;My age is:;30;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_30dg2KGKQiDNEif;Yes;Yes;Yes;Yes;Milken Institute School of Public Health;;Staff (non-faculty/administrative);;;;;Through Google Password;I remembered my passwords without writing them down or storing them digitally,I reset my password every time I log in rather than remembering my password,I stored my passwords in a digital file or files,I saved my passwords in the browser (for example, passwords saved in Chrome),I used a system-provided password manager (for example, Apple's Keychain),I wrote my passwords down on paper or other physical media.;Yes;No;Yes;Yes;;Yes;"Some websites where I am not giving much personal information, I use a password phrase I have created that follows a simple formula (name of site, pw, alphanumeric symbol, and either home address number or work address number depending on the site being accessed)
 I also copy and paste passwords into a Google Drive document. 
 I also sometimes screencap the password as it's being created and save on my personal desktop. 
 For our router, it's written on paper and stored in the router box.";I am very much considering a password manager to navigate family passwords. Or just have a print out and write them in for important accounts in case of emergency.;I created a passphrase using my personal password structure framework.;Because it's easy and I hate to have to reset it all the time.;Yes;Somewhat less secure;I have to log into my computer with it and every 14 days.;I save my passwords in the browser (for example, passwords saved in Chrome).,I use a system provided password manager (for example, Apple's Keychain).;75.541;77.094;79.624;4;Other People (friends, family, etc, but not at work);;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Ease of having to remember so many bajillion passwords for nearly every site.;Chrome;;Extremely satisfied;I create the password myself, and the password manager stores it for me;Not having to memorize passwords;;I have security concerns;;I use Google Chrome to store my passwords and I wish I was more confident they weren't accessing my data.;;;;;;Extremely likely;Agree;Somewhat Agree;Somewhat Agree;Somewhat Agree;Somewhat Agree;Neither agree nor disagree;None of the above;Medium understanding;Medium understanding;No understanding;Low understanding;No understanding;High understanding;Woman;;My age is:;40;No, not of Hispanic, Latino/a/x, or Spanish origin;White,Black or African American;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_3PnnUu3ydCEiOnq;Yes;Yes;Yes;Yes;Other;HRMD;Staff (non-faculty/administrative);;;;;Similar base with tweaks to different sites;I remembered my passwords without writing them down or storing them digitally,I reset my password every time I log in rather than remembering my password,I stored my passwords in a digital file or files,I saved my passwords in the browser (for example, passwords saved in Chrome),I used a third-party password manager (for example, Lastpass or Onepass);Yes;No;Yes;Yes;Yes;;When I use a similar base I can just remember. If I have to update often on a site I usually forget where I am and then have to reset yet again. Important work and financial passwords are saved in LastPass;No;Started with my base password and made it individual to GW with tweaks;Easy to remember;No;Much more secure;I worry about my work accounts and financial accounts being hacked much more than shopping or news sites.;I save my passwords in the browser (for example, passwords saved in Chrome).,I use a third-party manager (for example, Lastpass or Onepass).;32.636;55.449;58.22;4;Other People (friends, family, etc, but not at work);;Strongly Agree;Strongly Agree;Neither agree nor disagree;Somewhat Agree;Somewhat Disagree;Somewhat Disagree;Strongly Agree;Somewhat Agree;Remembering complex passwords for work and financials is very difficult.;LastPass;;Moderately satisfied;I create the password myself, and the password manager stores it for me;Not having to memorize passwords;;Entering passwords when password manager is not installed;;I can't use my husband's laptop to sign into our bank account because he cannot install lastpass on it.;;;;;;Extremely likely;Agree;Agree;Agree;Agree;Agree;Agree;None of the above;Full Understanding;Full Understanding;Full Understanding;High understanding;Full Understanding;Full Understanding;Woman;;My age is:;54;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_3mfVt3KYNMYqIlw;Yes;Yes;Yes;Yes;Milken Institute School of Public Health;;Student;;No;Graduate (M.S.E, M.S., M.A, M.F.A., etc.);;"i essentially have three different passwords that i cycle through depending on the ""seriousness"" of the account.
 
 ""seriousness"" being loosely defined as ""how annoyed would i be if i lost access to my account or if it was stolen"". i.e. banking = serious; hulu = not that serious.";I remembered my passwords without writing them down or storing them digitally,I saved my passwords in the browser (for example, passwords saved in Chrome),I used a system-provided password manager (for example, Apple's Keychain),I wrote my passwords down on paper or other physical media.;Yes;;;No;;No;"well, i always write them down somewhere.
 
 i have a little system in my head for creating and remembering my passwords so i don't exactly rely on anything else. this is my main system.
 
 and i use the keychain because it convenient.";no.;"it's a secret!
 
 i have a formula for password generation. idk if i feel like sharing that though!";because it generates pretty high quality passwords that are easy for me to remember.;No;Much more secure;"because school ranks high on my ""seriousness"" scale
 
 school = serious
 pinterest = not that serious";I save my passwords in the browser (for example, passwords saved in Chrome).,I use a system provided password manager (for example, Apple's Keychain).;9.601;10.441;21.036;2;Media (Internet, TV, radio, etc);;Neither agree nor disagree;Somewhat Disagree;Somewhat Disagree;Somewhat Agree;Somewhat Disagree;Somewhat Disagree;Somewhat Agree;Somewhat Disagree;convenience.;Apple Keychain;;Moderately satisfied;I create the password myself and recall it without storing it in the password manager;Not having to type my passwords (autofill);;I have security concerns;;"they're not big concerns per se; but it does feel a little enervating to know that all of my passwords are in one place if that one place happens to be compromised.";;;;;;Moderately likely;Agree;Somewhat Agree;Somewhat Agree;Somewhat Agree;Somewhat Agree;Neither agree nor disagree;None of the above;High understanding;High understanding;High understanding;High understanding;High understanding;High understanding;Man;;My age is:;36;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I want my email to be entered into the $10 Amazon gift card raffle
R_2rBKiioA75Rhs0h;Yes;Yes;Yes;Yes;Milken Institute School of Public Health;;Student;;No;Graduate (M.S.E, M.S., M.A, M.F.A., etc.);;I keep most of them in a secure password management system, stored on either my phone or computer.;I remembered my passwords without writing them down or storing them digitally,I reset my password every time I log in rather than remembering my password,I stored my passwords in a digital file or files,I saved my passwords in the browser (for example, passwords saved in Chrome),I used a system-provided password manager (for example, Apple's Keychain),I wrote my passwords down on paper or other physical media.;Yes;No;No;Unsure;;No;Originally would write down and/or reset passwords as needed, often using the same password across accounts. In the past two years I’ve been attempting to heighten my password security when creating new accounts and by changing old passwords. The variation makes it hard to recall unless it’s a system I use almost daily. Now, I primarily use Apple keychain, or store passwords in my browser.;NA;Something I would remember and meets password requirements;Because I knew I would access the system nearly every day and needed something easy to recall;Yes;About equally secure;It’s still easy to remember but offers security;I save my passwords in the browser (for example, passwords saved in Chrome).,I use a system provided password manager (for example, Apple's Keychain).;692;33.062;35.169;16;Other;It appeared on my phone as an update one day and I started using it.;Neither agree nor disagree;Somewhat Disagree;Somewhat Disagree;Somewhat Agree;Somewhat Disagree;Somewhat Disagree;Neither agree nor disagree;Somewhat Agree;Ease;Apple Keychain;;Moderately satisfied;I create the password myself, and the password manager stores it for me;Not having to type my passwords (autofill);;I have security concerns;;If my phone is stolen/hacked/etc., someone will have access to every password I’ve ever created and used across multiple accounts;;;;;;Neither likely nor unlikely;Strongly Disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Disagree;Disagree;Neither agree nor disagree;None of the above;High understanding;High understanding;High understanding;High understanding;High understanding;High understanding;Woman;;My age is:;27;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_2QG3cE9U7mjH9uV;Yes;Yes;Yes;Yes;School of Engineering & Applied Science;;Student;;No;Graduate (M.S.E, M.S., M.A, M.F.A., etc.);;create a special rule to generate the password so that I can remember it but all of them are different;I remembered my passwords without writing them down or storing them digitally,I saved my passwords in the browser (for example, passwords saved in Chrome);Yes;;;Yes;;;"For the accounts that are not very important, I will use ""remember my password"" function. For others, like the bank web, I will remember by myself.";just like said before, Create a rule to generate password;use my rule to generate it.;GW account is important and I do not want anyone else to know it or guess it.;Yes;About equally secure;Because it has many character and includes letters, numbers and symbols;I save my passwords in the browser (for example, passwords saved in Chrome).;11.444;19.296;21.038;2;I don’t know (don’t remember, not sure);;Neither agree nor disagree;Somewhat Disagree;Neither agree nor disagree;Strongly Agree;Strongly Disagree;Somewhat Disagree;Neither agree nor disagree;Somewhat Disagree;it is convenient.;Chrome;;Moderately satisfied;I create the password myself, and the password manager stores it for me;Not having to type my passwords (autofill);;Entering passwords when password manager is not installed;;If on some devices that the password manager is not installed, you have to manually enter your password.;;;;;;Slightly likely;Neither agree nor disagree;Somewhat Agree;Strongly Agree;Somewhat Disagree;Agree;Neither agree nor disagree;I am majoring / have a degree in computer science or a closely related field;Medium understanding;Low understanding;No understanding;Medium understanding;Low understanding;No understanding;Man;;My age is:;24;No, not of Hispanic, Latino/a/x, or Spanish origin;Chinese;;I want my email to be entered into the $10 Amazon gift card raffle
R_1NwxX58UhwcTDpZ;Yes;Yes;Yes;Yes;Columbian College of Arts & Sciences;;Student;;Yes;Graduate (M.S.E, M.S., M.A, M.F.A., etc.);;I use my Apple account to save all my passwords;I used a system-provided password manager (for example, Apple's Keychain);Yes;;;;;Yes;;I have Different passwords for every account but it is all managed through my Apple account;Are used a website that created a secure and strong password;I did not want to repeat a password I’ve used in the past;Yes;About equally secure;I typically use a website to compute a secure and strong password for all my accounts;I use a system provided password manager (for example, Apple's Keychain).;2.241;11.094;21.191;7;I first heard about it in this study;;Somewhat Agree;Somewhat Agree;Somewhat Agree;Somewhat Agree;Somewhat Disagree;Somewhat Disagree;Somewhat Agree;Somewhat Agree;It’s a secure place to store passwords;Apple Keychain;;Moderately satisfied;I let the password manager create and store the password;Not having to type my passwords (autofill);;Cannot view passwords;;It auto fills passwords in a black circle so I forget what the actual password is at times;;;;;;Extremely unlikely;Agree;Agree;Agree;Neither agree nor disagree;Agree;Agree;None of the above;Medium understanding;Full Understanding;Full Understanding;Medium understanding;Medium understanding;Full Understanding;Man;;My age is:;24;No, not of Hispanic, Latino/a/x, or Spanish origin;Other (Designation not listed here);Middle Eastern;I am willing to be contacted via email for follow-up studies
R_31YLDmDLl9LXvlm;Yes;Yes;Yes;Yes;School of Nursing;;Student;;Yes;Graduate (M.S.E, M.S., M.A, M.F.A., etc.);;I use a sticky note on my desktop where all my passwords are recorded and I have my passwords saved to my browser except really sensitive ones like banking.;I remembered my passwords without writing them down or storing them digitally,I stored my passwords in a digital file or files,I saved my passwords in the browser (for example, passwords saved in Chrome);Yes;No;No;Yes;;;For sensitive websites, I use complex and long passwords. The next tier is my shopping accounts where I may share the same password or have versions of the same one. The next tier is frivolous websites like Craigslist etc. That I use simple passwords. The hardest ones to remember are for the first tier.;I change at least one password every month or two because I've forgotten. It's also influenced my participation in certain websites or resources. If I have to create an account with yet another password to remember, I usually don't join.;Similar thème or password for school things;Easiest to remember especially when I'm not home on my personal laptop where my passwords are already saved;Yes;Somewhat less secure;I just need access to my grades and assignments;I save my passwords in the browser (for example, passwords saved in Chrome).;2.667;24.31;25.246;6;Other;Browser popup;Strongly Disagree;Strongly Disagree;Neither agree nor disagree;Somewhat Agree;Somewhat Disagree;Somewhat Disagree;Neither agree nor disagree;Somewhat Agree;Too many websites, accounts, services etc.;Chrome;;Moderately satisfied;I create the password myself, and the password manager stores it for me;Not having to memorize passwords;;I have security concerns;;It's easy to access a list of all the websites and my passwords. The browser itself does not require a password to access my list of passwords. Chrome asks for yet another password to access your list of passwords;;;;;;Moderately unlikely;Strongly Agree;Strongly Agree;Somewhat Agree;Agree;Agree;Somewhat Agree;None of the above;High understanding;High understanding;High understanding;Low understanding;Medium understanding;Medium understanding;Woman;;Prefer not to disclose;;No, not of Hispanic, Latino/a/x, or Spanish origin;Black or African American;;I want my email to be entered into the $10 Amazon gift card raffle
R_2rZNKMtCpbyjptH;Yes;Yes;Yes;Yes;School of Medicine & Health Sciences;;Staff (non-faculty/administrative);;;;;I have them written down in a safe place. Most of them are similar passwords with a few characters changed for each.;I stored my passwords in a digital file or files,I wrote my passwords down on paper or other physical media.;Yes;Yes;No;;;;I have passwords written on a word document and saved in my files. Plus, I have the same passwords written down in a notebook that I keep stored safely.;No;I used a phrase that means something to me.;It was a phrase that I learned when I first moved to DC/GW.;No;Somewhat more secure;It is important for me to keep information of my employer as safe as possible. I feel it is my responsibility as an employee.;I do not use a password manager.;40.58;40.58;43.364;1;I first heard about it in this study;;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;;;;;;;;;;;I never heard about it until this study.;No;;Yes, if it made my life easier.;;Moderately likely;Agree;Strongly Agree;Agree;Somewhat Agree;Agree;Somewhat Agree;None of the above;Medium understanding;Medium understanding;Low understanding;Low understanding;No understanding;Low understanding;Woman;;My age is:;44;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_AM6P1okOxYH5ETT;Yes;Yes;Yes;Yes;Other;Enrollment and Student Success;Staff (non-faculty/administrative);;;;;I have passwords for accounts that I use often memorized and have the rest stored in KeyPass.;I remembered my passwords without writing them down or storing them digitally,I reset my password every time I log in rather than remembering my password,I stored my passwords in a digital file or files,I used a third-party password manager (for example, Lastpass or Onepass);Yes;No;Yes;;No;;I remember passwords that I use often. For some systems that I use very rarely and did not repeat the password I will reset the password each time I log in. I also use KeyPass to create and/or store passwords for more secure systems.;I reuse less secure passwords for systems that do not have financial or personal information.;Prefer not to answer;Prefer not to answer;No;Much more secure;My GW account has access to sensitive student and personal data. I do not want to risk exposing my password and having that data accessed.;I use a third-party manager (for example, Lastpass or Onepass).;18.645;41.053;44.605;9;Other People (friends, family, etc, but not at work);;Somewhat Agree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Strongly Disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat Agree;There are too many passwords for too many accounts to remember. The password manager can also generate stronger passwords.;KeePass;;Extremely satisfied;I create the password myself, and the password manager stores it for me;Not having to memorize passwords;;Entering passwords on an incompatible device where the password manger cannot be installed;;I only use Keepass on my laptop and do not use it on any other device. It is difficult to access accounts from any other device than my laptop.;;;;;;Extremely likely;Somewhat Agree;Somewhat Agree;Somewhat Agree;Agree;Neither agree nor disagree;Disagree;Prefer not to disclose;Medium understanding;Medium understanding;Low understanding;High understanding;Low understanding;Medium understanding;Man;;My age is:;30;No, not of Hispanic, Latino/a/x, or Spanish origin;Other Asian (for example, Pakistani, Cambodian, and Hmong);;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_3qPB1aJ91fPlWn2;Yes;Yes;Yes;Yes;School of Engineering & Applied Science;;Student;;Yes;Graduate (M.S.E, M.S., M.A, M.F.A., etc.);;I have multiple passwords of varying difficulties that I use dependent upon the sensitivity of the system.;I remembered my passwords without writing them down or storing them digitally;Yes;;;;;;;Nope;Over 15 characters, multiple words and symbol combination.;It is secure.;Yes;About equally secure;It is a medium security risk account. No financials, etc.;I save my passwords in the browser (for example, passwords saved in Chrome).;11.03;19.068;21.141;8;I don’t know (don’t remember, not sure);;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat Agree;Strongly Agree;Convenience;Chrome;;Extremely satisfied;I create the password myself, and the password manager stores it for me;Not having to type my passwords (autofill);;Entering passwords on an incompatible device where the password manger cannot be installed;;When I can't use chrome/login to chrome.;;;;;;Neither likely nor unlikely;Strongly Agree;Agree;Agree;Agree;Agree;Agree;I am majoring / have a degree in computer science or a closely related field;Full Understanding;Medium understanding;Full Understanding;Full Understanding;Full Understanding;Full Understanding;Man;;My age is:;40;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_2aVybSlOh3rNVkV;Yes;Yes;Yes;Yes;School of Nursing;;Full-time Faculty;;;;;I used different passwords.;I remembered my passwords without writing them down or storing them digitally,I wrote my passwords down on paper or other physical media.;No;;;;;;I cannot tell you.;No.;I simply created a password.;I have no answer.;No;Unsure;This works best for me.;I do not use a password manager.;14.939;14.939;40.807;1;Media (Internet, TV, radio, etc),Other People (friends, family, etc, but not at work);;Neither agree nor disagree;Strongly Disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat Agree;;;;;;;;;;;I do not trust them.;No;;No.;;Moderately unlikely;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;None of the above;Full Understanding;Full Understanding;Full Understanding;Full Understanding;Full Understanding;Full Understanding;Woman;;Prefer not to disclose;;Prefer not to disclose;Prefer not to disclose;;None of the above
R_2xRkdTQn64p7Jxx;Yes;Yes;Yes;Yes;Graduate School of Education & Human Development;;Student;;No;Graduate (M.S.E, M.S., M.A, M.F.A., etc.);;I have mnemonics to remember them by;I remembered my passwords without writing them down or storing them digitally,I stored my passwords in a digital file or files,I saved my passwords in the browser (for example, passwords saved in Chrome);Yes;No;Yes;No;;;"Some of my passwords are from my original Club Penguin account in the '00s-- these are the ones I don't have to write down and, because it was trendy, they're complicated by being in |33+$p34&lt;
 Sometimes I modify these original passwords, and in my Google Keep app I have a note with vague hints like ""wmata, bd no 3 5%"" and ""myamericorps, bears and +&gt;="" which means something very clear to me.
 Sometimes I let Google generate a password, and that I save in Chrome so I don't have to remember ""1kl2e190klj58r97fs"" or whatever the password is.";Don't steal my passwords or I'll know it's you, Dr. Aviv.;That's one based on an OG Club Penguin password-- I just have it memorized.;It's a strong (if you ignore that I've used it elsewhere) password and I didn't put a lot of thought into my GW password. It's not my bank account or taxes.;No;About equally secure;So it's very secure in terms of not being words and being a seemingly (remember, I made this password in the '00s when &0inγ +hi$ was cool) random collection of characters, but it's less secure because I used it for other platforms. However, since I login to GW all the time, I picked that one because to me it's obvious and easy.;I save my passwords in the browser (for example, passwords saved in Chrome).;34.489;34.489;41.376;1;Other;the password manager showed up in Chrome one day;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Strongly Disagree;Strongly Disagree;Somewhat Agree;Somewhat Agree;I am lazy and put too much faith in Google;Chrome;;Moderately satisfied;I create the password myself, and the password manager stores it for me;Not having to type my passwords (autofill);;I have security concerns;;It's clearly not that big of a concern (I am aware that I'm too loose and fast with my data) but hypothetically if you got my computer you also have a LOT of my personal information right at your fingertips.;;;;;;Extremely likely;Somewhat Agree;Disagree;Somewhat Disagree;Strongly Disagree;Somewhat Disagree;Disagree;None of the above;High understanding;High understanding;Low understanding;High understanding;Medium understanding;Medium understanding;Woman;;My age is:;23;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_2B2ntDztVfLB5ue;Yes;Yes;Yes;Yes;Milken Institute School of Public Health;;Staff (non-faculty/administrative);;;;;create a new password for every account;I remembered my passwords without writing them down or storing them digitally;Unsure;;;;;;;use that account as part of the password;nature of my job plus a specific date;easy to remember with logical mind;No;Somewhat more secure;never use such a combination before;I do not use a password manager.;29.806;29.806;33.428;1;Media (Internet, TV, radio, etc);;Somewhat Agree;Somewhat Agree;Somewhat Agree;Strongly Agree;Strongly Disagree;Strongly Disagree;Somewhat Agree;Somewhat Agree;;;;;;;;;;;not 100% security, compare to my memory;Yes;feel unsafe after all hacking news;;may be;Slightly likely;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;None of the above;High understanding;High understanding;Medium understanding;Medium understanding;High understanding;Medium understanding;Prefer not to disclose;;My age is:;55;Prefer not to disclose;Prefer not to disclose;;None of the above
R_2xxT0pSTmiiERV6;Yes;Yes;Yes;Yes;Columbian College of Arts & Sciences;;Full-time Faculty;;;;;different passwords for each account;I stored my passwords in a digital file or files;No;No;No;;;;;The file is stored offline.;long and complicated;to avoid having the account hacked;No;Much more secure;Much more secure due to the use of the Authenticator;I save my passwords in the browser (for example, passwords saved in Chrome).;9.431;59.164;59.965;6;Media (Internet, TV, radio, etc);;Somewhat Disagree;Somewhat Disagree;Neither agree nor disagree;Strongly Agree;Somewhat Disagree;Somewhat Disagree;Neither agree nor disagree;Somewhat Disagree;To avoid entering password each time;Firefox;;Extremely satisfied;I create the password myself, and the password manager stores it for me;Not having to type my passwords (autofill);;I have security concerns;;I am concerned about passwords being saved in any location that is linked to the internet. Anything can be hacked.;;;;;;Moderately unlikely;Somewhat Agree;Somewhat Agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat Agree;Agree;None of the above;Full Understanding;Full Understanding;High understanding;Full Understanding;Full Understanding;Full Understanding;Man;;Prefer not to disclose;;No, not of Hispanic, Latino/a/x, or Spanish origin;Prefer not to disclose;;None of the above
R_3L1QnncUnQq28BE;Yes;Yes;Yes;Yes;School of Medicine & Health Sciences;;Student;;Yes;Graduate (M.S.E, M.S., M.A, M.F.A., etc.);;I have a small composition notebook where I write all my passwords. I have a separate page for each account and include information regarding usernames, passwords, and security questions on each page.;I wrote my passwords down on paper or other physical media.;Yes;;;;;;;Sometimes if there are multiple accounts that are related, I would use the same password for all of them. For example, for programs related to school, I use the same password as I do for my school email because it helps me remember them better by association.;"All of my passwords follow a general pattern. There is a descriptive word followed by the name of a mammal, followed by a number, and finally a punctuation mark. Some of the letters are capitalized in the password. 
  The descriptive word is related to the nature of the account being made. For example, if I were to make an account for Steam, the descriptive word might say ""Gamer"".";I use this creation strategy because it is easier for me to remember my passwords without having to look them up in my book all of the time. I also think that the addition of the number, punctuation mark, and varying capital and lower case letters help with security.;No;Much more secure;"I choose much more secure because even though I select ""remember this computer for 14 days"", I am still continuously prompted to put in the security number that is sent to me via text message. Therefore, since I almost always have to have a 2-step verification log in, I would say it is a secure program.";I do not use a password manager.;28.115;28.115;42.105;1;Other People (friends, family, etc, but not at work),Other;Google constantly asking if you want them to save your password when you make a new account somewhere.;Strongly Disagree;Strongly Disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Disagree;Strongly Agree;;;;;;;;;;;I dislike the thought of another entity having all the information necessary to access my accounts. Aside from concerns of privacy, there are concerns of safety. Should these password managers get hacked, the hacker has information to all of your accounts.;No;;I do not think that I would ever use a password manager. I am concerned that if someone were to gain access to my computer with a password manager on it, then they could get into any of my accounts. I suppose if I were to adopt a password manager it would be to get into my accounts quicker.;;Extremely unlikely;Agree;Agree;Somewhat Disagree;Agree;Somewhat Agree;Somewhat Agree;None of the above;High understanding;High understanding;Medium understanding;Full Understanding;Low understanding;High understanding;Woman;;My age is:;23;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_25A74UJr5HYyc6o;Yes;Yes;Yes;Yes;Prefer not to disclose;;Staff (non-faculty/administrative);;;;;I keep my passwords in an encrypted file.;I stored my passwords in a digital file or files,I saved my passwords in the browser (for example, passwords saved in Chrome);No;No;No;No;;;The encrypted file is the central document that stays in one location. I access it when I need a password for another device that is not securely stored there. I never use cloud syncing for credentials.;Nope. Pretty simple.;More than 20 characters of mixed case, numbers and special characters.;Increased protection. Same strategy I use elsewhere.;Yes;Somewhat less secure;Access is limited to machines that only I have access to.;I save my passwords in the browser (for example, passwords saved in Chrome).;6.933;38.481;54.49;6;Other;In my practice;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat Agree;Somewhat Disagree;Strongly Disagree;Somewhat Agree;Somewhat Agree;Convenience;Other;Microsoft Edge, Apple Safari (both with biometric or 2-factor authentication);Extremely satisfied;I create the password myself, and the password manager stores it for me;Not having to type my passwords (autofill);;I have security concerns;;I cannot completely rule out some of these getting accessed because they are not in an encrypted file.;;;;;;Extremely unlikely;Somewhat Agree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Agree;None of the above;Medium understanding;High understanding;High understanding;High understanding;High understanding;High understanding;Man;;Prefer not to disclose;;Prefer not to disclose;Prefer not to disclose;;None of the above
